VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2015-01-15 09:47:03,2015-01-15 09:57:10,1,0.7,-73.9755172729,40.7542800903,1,N,-73.9785308838,40.7615585327,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
1,2015-01-15 09:47:03,2015-01-15 09:53:04,3,0.8,-73.9473724365,40.7760391235,1,N,-73.9575424194,40.7726707458,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16
1,2015-01-15 09:47:03,2015-01-15 09:51:15,1,1.1,-73.962310791,40.758846283,1,N,-73.9518203735,40.7734603882,1,5.5,0.0,0.5,1.26,0.0,0.3,7.56
1,2015-01-15 09:47:04,2015-01-15 10:02:36,1,1.4,-73.9887466431,40.755027771,1,N,-73.9900054932,40.7387237549,1,10.5,0.0,0.5,2.25,0.0,0.3,13.55
1,2015-01-15 09:47:04,2015-01-15 10:00:56,2,1.6,-73.9825668335,40.7355155945,1,N,-73.9910964966,40.7488899231,1,10.0,0.0,0.5,2.15,0.0,0.3,12.95
1,2015-01-15 09:47:05,2015-01-15 09:52:25,1,0.6,-73.9943237305,40.7503318787,1,N,-74.0023956299,40.7486686707,1,5.5,0.0,0.5,1.25,0.0,0.3,7.55
1,2015-01-15 09:47:05,2015-01-15 09:53:18,1,0.7,-73.9631347656,40.7717895508,1,N,-73.9540405273,40.7670249939,2,5.5,0.0,0.5,0.0,0.0,0.3,6.3
1,2015-01-15 09:47:05,2015-01-15 09:48:54,1,0.5,-73.9620056152,40.7595901489,1,N,-73.9568328857,40.7649002075,1,3.5,0.0,0.5,1.0,0.0,0.0,5.0
1,2015-01-15 09:47:05,2015-01-15 09:51:23,1,0.9,-73.9706573486,40.7834129333,1,N,-73.9588623047,40.7809448242,1,5.5,0.0,0.5,1.0,0.0,0.3,7.3
1,2015-01-15 09:47:06,2015-01-15 09:55:23,1,1.6,-73.966468811,40.7923812866,1,N,-73.9586868286,40.7757720947,2,8.0,0.0,0.5,0.0,0.0,0.3,8.8
1,2015-01-15 09:47:06,2015-01-15 10:01:35,2,6.9,-73.9899139404,40.7569236755,1,N,-73.9466171265,40.8362922668,1,21.0,0.0,0.5,6.5,0.0,0.3,28.3
1,2015-01-15 09:47:07,2015-01-15 09:55:25,1,0.7,-73.985206604,40.7416305542,1,N,-73.9788284302,40.7505760193,1,7.0,0.0,0.5,2.3,0.0,0.3,10.1
1,2015-01-15 09:47:07,2015-01-15 10:08:50,1,2.9,-73.9741516113,40.7839508057,1,N,-73.9783477783,40.75157547,2,15.0,0.0,0.5,0.0,0.0,0.3,15.8
1,2015-01-15 09:47:07,2015-01-15 09:54:05,1,1.0,0.0,0.0,1,N,-73.9988098145,40.7414283752,2,6.0,0.0,0.5,0.0,0.0,0.3,6.8
1,2015-01-15 09:47:07,2015-01-15 09:56:05,1,1.6,-73.9792404175,40.7715644836,1,N,-73.9621505737,40.7780723572,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
1,2015-01-20 22:49:09,2015-01-20 23:12:38,1,6.4,-73.9886550903,40.7369918823,1,N,-73.9516677856,40.6735458374,1,22.0,0.5,0.5,4.0,0.0,0.3,27.3
1,2015-01-20 22:49:09,2015-01-20 22:57:07,1,2.0,-73.9810333252,40.7636871338,1,N,-73.9694976807,40.7878761292,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8
1,2015-01-20 22:49:10,2015-01-20 23:01:46,3,2.4,-73.9917068481,40.7262153625,1,N,-73.9933547974,40.7518997192,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3
1,2015-01-20 22:49:10,2015-01-20 23:02:20,1,2.6,-73.9870910645,40.7594566345,1,N,-74.0046539307,40.7251815796,1,12.0,0.5,0.5,1.5,0.0,0.3,14.8
1,2015-01-20 22:49:11,2015-01-20 22:59:36,2,1.3,-73.9842453003,40.7646903992,1,N,-73.962348938,40.7553596497,1,8.0,0.5,0.5,1.85,0.0,0.3,11.15
1,2015-01-20 22:49:11,2015-01-20 23:16:03,1,16.3,-73.7891769409,40.6418190002,1,Y,-73.9624710083,40.7198600769,1,45.0,0.5,0.5,11.57,0.0,0.3,57.87
1,2015-01-20 22:49:11,2015-01-20 23:00:44,1,2.3,-73.9500579834,40.7719306946,1,N,-73.9776687622,40.7633628845,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8
1,2015-01-20 22:49:11,2015-01-20 22:58:46,1,3.5,-73.9878921509,40.7185516357,1,N,-73.9477005005,40.7240371704,1,12.5,0.5,0.5,2.0,0.0,0.3,15.8
1,2015-01-20 22:49:11,2015-01-20 22:58:29,1,2.7,-73.9787216187,40.7511177063,1,N,-73.9507751465,40.7778015137,1,10.0,0.5,0.5,2.25,0.0,0.3,13.55
1,2015-01-20 22:49:11,2015-01-20 22:53:12,1,0.8,-73.9676132202,40.7659912109,1,N,-73.9587173462,40.7756538391,1,5.5,0.5,0.5,1.0,0.0,0.3,7.8
1,2015-01-20 22:49:11,2015-01-20 23:07:20,1,3.7,-73.9576263428,40.7083320618,1,N,-74.0006256104,40.6814956665,1,15.5,0.5,0.5,1.0,0.0,0.3,17.8
1,2015-01-20 22:49:11,2015-01-20 23:11:58,2,6.4,-73.9850616455,40.7239456177,1,N,-73.9610900879,40.6504631042,1,22.0,0.5,0.5,5.8,0.0,0.3,29.1
1,2015-01-20 22:49:12,2015-01-20 22:54:54,1,1.1,-73.9976959229,40.7378196716,1,N,-73.982963562,40.7388153076,1,6.0,0.5,0.5,1.0,0.0,0.3,8.3
1,2015-01-20 22:49:12,2015-01-20 22:54:48,1,0.9,-73.985534668,40.7385826111,1,N,-73.9791870117,40.750125885,1,6.5,0.5,0.5,1.55,0.0,0.3,9.35
1,2015-01-20 22:49:12,2015-01-20 23:05:18,1,5.6,-74.0061569214,40.7062072754,1,N,-73.9449234009,40.6809425354,1,18.0,0.5,0.5,3.85,0.0,0.3,23.15
1,2015-01-20 22:49:12,2015-01-20 22:57:35,1,2.2,-74.0067520142,40.7438201904,1,N,-73.9816894531,40.7611503601,1,9.0,0.5,0.5,2.57,0.0,0.3,12.87
1,2015-01-20 22:49:13,2015-01-20 22:57:16,1,1.0,-73.9846115112,40.7590446472,1,N,-73.9778442383,40.7542610168,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95
1,2015-01-20 22:49:13,2015-01-20 23:08:12,2,3.5,-74.0021362305,40.7370872498,1,N,-73.9581222534,40.7104454041,1,16.0,0.5,0.5,3.46,0.0,0.3,20.76
1,2015-01-20 22:49:14,2015-01-20 22:56:46,1,2.3,-73.9481277466,40.7829055786,1,N,-73.9703903198,40.7578735352,1,9.0,0.5,0.5,1.0,0.0,0.3,11.3
1,2015-01-20 22:49:14,2015-01-20 23:14:16,1,6.4,-73.982963562,40.7757911682,1,N,-73.8894882202,40.7400970459,2,23.0,0.5,0.5,0.0,0.0,0.3,24.3
1,2015-01-20 22:49:14,2015-01-20 22:53:43,1,0.8,-73.9974594116,40.7417221069,1,N,-74.008682251,40.7381515503,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56
1,2015-01-20 22:49:14,2015-01-20 22:56:49,1,1.7,-73.9615631104,40.7142868042,1,N,-73.9523010254,40.6943435669,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8
1,2015-01-26 13:04:14,2015-01-26 13:10:11,1,0.9,-73.9948577881,40.7344207764,1,N,-73.9850082397,40.7259521484,1,6.0,0.0,0.5,1.35,0.0,0.3,8.15
